,Title,Year,Genre,Rating
207,To Be or Not to Be,1942,"['Comedy', 'Romance']",8.2
208,The Big Lebowski,1998,['Comedy'],8.1
209,Dead Poets Society,1989,['Comedy'],8.1
210,Harry Potter and the Deathly Hallows: Part 2,2011,['Adventure'],8.1
211,Ben-Hur,1959,['Adventure'],8.1
212,How to Train Your Dragon,2010,['Animation'],8.1
213,Mad Max: Fury Road,2015,['Action'],8.1
214,Autumn Sonata,1978,['Drama'],8.2
215,Million Dollar Baby,2004,['Drama'],8.1
216,The Wages of Fear,1953,['Adventure'],8.1
217,Stand by Me,1986,['Adventure'],8.1
218,Network,1976,['Drama'],8.1
219,The Handmaiden,2016,['Drama'],8.1
220,Logan,2017,['Action'],8.1
221,Gangs of Wasseypur,2012,['Action'],8.2
222,La Haine,1995,['Crime'],8.1
223,A Silent Voice,2016,['Animation'],8.2
224,Cool Hand Luke,1967,['Crime'],8.1
225,Hachi: A Dog's Tale,2009,['Biography'],8.1
226,The 400 Blows,1959,['Crime'],8.1
227,Platoon,1986,['Drama'],8.1
228,Spotlight,2015,['Biography'],8.1
229,"Monsters, Inc.",2001,['Animation'],8.1
230,Rebecca,1940,['Drama'],8.1
231,Life of Brian,1979,['Comedy'],8.1
232,The Bandit,1996,"['Crime', 'Drama']",8.2
233,In the Mood for Love,2000,['Drama'],8.1
234,Hotel Rwanda,2004,['Biography'],8.1
235,Rush,2013,['Action'],8.1
236,Rocky,1976,['Drama'],8.1
237,Amores perros,2000,['Drama'],8.1
238,Demon Slayer the Movie: Mugen Train,2020,['Animation'],8.3
239,Into the Wild,2007,['Adventure'],8.1
240,Nausicaä of the Valley of the Wind,1984,['Animation'],8.1
241,Drishyam,2013,['Crime'],8.3
242,Before Sunset,2004,['Drama'],8.1
243,It Happened One Night,1934,['Comedy'],8.1
244,Miracle in Cell No. 7,2019,['Drama'],8.2
245,Hera Pheri,2000,['Action'],8.2
246,The Battle of Algiers,1966,['Drama'],8.1
247,Andrei Rublev,1966,['Biography'],8.1
248,Nights of Cabiria,1957,['Drama'],8.1
249,Fanny and Alexander,1982,['Drama'],8.1
